Date,Open,High,Low,Close,Volume,Tweet,Company Name, Stock Name
12/22/2023,103,111.75,101.81,108.1,"101,077,602","On December 22, 2022, Tesla tweeted about the Model Y breaking the best-selling car record in Norway, which was held since 1969 by the Beetle","Tesla, Inc.",TSLA
12/11/2023,109.11,114.39,104.64,109.1,"101,377,906",$TSLA #TSLA Bull case (weekly) vs. bear case (daily) is pretty clear here,"Tesla, Inc.",TSLA
12/8/2023,110.35,114.59,107.16,110.34,"101,543,297","@TroyTeslike If you add back the 80K or so lost sales in China/Europe because $TSLA GigaShanghai was forced to shut down due to Covid in 2Q (other Europe/China EV makers were not impacted), TSLA US+Europe+China BEV share was 19.8% (312,484/1,574,579).","Tesla, Inc.",TSLA
12/7/2023,110.51,116.27,107.52,112.71,"101,596,305",36 hours and counting. I now have full confidence this will outlast my power outage. Iâ€™m so thankful for this. #FIONA2022 #HurricaneFiona #NovaScotia @Tesla @elonmusk https://t.co/PyD0ezaxyb,"Tesla, Inc.",TSLA
12/6/2023,116.55,118.8,108.24,113.06,"101,752,898","Help to to trading $SPY , $QQQ , $VIX , $TSLA to becoming the best trader you can possibly be is all on 70+ page thread","Tesla, Inc.",TSLA
12/5/2023,117.5,119.67,108.76,113.64,"101,985,297",FSD Beta saved me from what couldâ€™ve been a severe head on collision. It reacted and swerved right faster than I couldâ€™ve. It was a lot to process in the moment but glad the car made the right move. @Tesla @elonmusk https://t.co/pXriZBniVj,"Tesla, Inc.",TSLA
12/4/2023,118.47,122.63,114.92,118.85,"101,993,602","End of quarter time and @Tesla is clearing out U.S. inventory, selling their demo cars per @w4tsla listings lately.","Tesla, Inc.",TSLA
12/1/2023,118.96,122.76,115.6,119.77,"102,296,797","Down $815,600 today. ðŸ¥± Didn't sweat for a minute 'cos Tesla is the only Tesla. $TSLA","Tesla, Inc.",TSLA
11/30/2023,119.95,123.52,117,121.82,"103,126,797","The last time $TSLA lost 13% it took about 3 weeks. This time, 3 days. The speed of these losses and rising of yields is nothing I've seen in at least 15 years.","Tesla, Inc.",TSLA
11/29/2023,120.39,123.57,117.11,122.4,"103,697,297","My $TSLA AI Day wish is for Franz to throw a ball bearing at the bot, which catches it and then installs it on another bot.","Tesla, Inc.",TSLA
11/28/2023,121.07,124.13,117.5,123.15,"103,704,000",Elon or someone is selling this morning. $TSLA,"Tesla, Inc.",TSLA
11/27/2023,122.09,124.48,119.75,123.18,"103,706,305",@elonmusk Starlink is a philanthropy!! And so is @tesla https://t.co/U55jgPeqEx,"Tesla, Inc.",TSLA
11/24/2023,122.56,125.95,120.51,123.22,"103,889,906",Excited to be included in this amazing upcoming #AIDay2022 event. It will be another important day in @Tesla history . @elonmusk @aelluswamy https://t.co/d2V1vmIwbF,"Tesla, Inc.",TSLA
11/22/2023,125.7,128.62,121.02,123.56,"104,099,797","$TSLA shares have increased in value by 12 basis points per day in 4,466 days since IPO in 2010.","Tesla, Inc.",TSLA
11/21/2023,126.37,129.99,122.26,125.35,"104,636,602",I will never give up on Elon bc I know his intentions are aligned with the better of the future of humanity. $TSLA,"Tesla, Inc.",TSLA
11/20/2023,127.26,131.7,124.31,127.17,"105,592,492","Okay, this is the buy signal for $TSLA. Load it up.","Tesla, Inc.",TSLA
11/17/2023,128.68,133.51,125.02,128.78,"106,584,797",Bought 100 $TSLA at Open https://t.co/oWmdqwBM2O,"Tesla, Inc.",TSLA
11/16/2023,135.87,136.63,127.01,131.49,"106,612,203","Can we just for once clarify that $TSLA ""recall"" for the window is an OTA fix and NOT a physical service center fix. The media sure likes to run with FUD. https://t.co/r3CFWaSwDs","Tesla, Inc.",TSLA
11/15/2023,136,136.68,127.35,133.42,"107,065,102",https://t.co/CP0Vrg4GBL - Jay Leno PRAISES Elon Musk As Worst Human Spreads HATE,"Tesla, Inc.",TSLA
11/14/2023,136.56,141.26,134.27,137.57,"107,142,305",I still think its possible my thesis posted a few weeks ago plays out,"Tesla, Inc.",TSLA
11/13/2023,139.34,145.38,135.89,137.8,"107,607,297",Without being on FSD my @Tesla seriously saved me from a harried merging on-ramp mess. It saw the car in front of me slam itâ€™s breaks and reacted faster than I did â€” &amp; I have fast reflexes. @elonmusk,"Tesla, Inc.",TSLA
11/10/2023,141.91,146.41,137.66,143.75,"107,673,695",THIS!! THIS IS WHY I SHORT $TSLA. Y'ALL ARE HAVING A LAUGH RIGHT? https://t.co/zMdqAHML6G,"Tesla, Inc.",TSLA
11/9/2023,143,146.5,138.07,143.89,"107,709,797",S&amp;P500 market will bottom the day $TSLA stock trades 183 dollar.,"Tesla, Inc.",TSLA
11/8/2023,146.05,148.47,141.1,144.43,"108,861,695",Another 200 $TSLA shares secured. ðŸ”¥ðŸ”¥ðŸ”¥ https://t.co/KRyNoAZJgb,"Tesla, Inc.",TSLA
11/7/2023,152.64,155.25,145.82,149.87,"109,015,000","FSD Beta going out to Teslas in the US &amp; Canada with a safety score above 80 is a huge deal in the software industry, no matter how your try to stir it up. $TSLA","Tesla, Inc.",TSLA
11/6/2023,153.44,160.48,150.04,150.23,"109,498,602","$TSLA sales in China now appear to be struggling. If they stall out at 450,000 to 500,000 deliveries/year (despite a new production line opened), then out year delivery numbers look â€œchallengingâ€.","Tesla, Inc.",TSLA
11/3/2023,154,160.67,152.37,153.75,"109,520,305",Anything exciting happen while I was out? I didn't keep up with too much news. Just checked in a few times here and there as you are aware. $TSLA,"Tesla, Inc.",TSLA
11/2/2023,159.25,160.93,153.14,156.8,"109,794,492",#fsdbeta 10.69.2.2 can pay attention to so much. ðŸ¤¯ðŸ¤¯ðŸ¤¯ðŸ‘€. Almost like it sees everything @tesla @elonmusk https://t.co/VN6hVO8XoU,"Tesla, Inc.",TSLA
11/1/2023,159.64,160.99,153.28,157.67,"110,252,203","if you own 1 $TSLA stock today, you will have more than $30,000 in ~10 years.*","Tesla, Inc.",TSLA
10/31/2023,159.82,161.42,154.76,160.19,"111,097,906",Congratulations to all the new FSD beta Testers. Please drive carefully. Letâ€™s not let Cummings win this battle. #FSDBeta #Tesla $TSLA @elonmusk,"Tesla, Inc.",TSLA
10/30/2023,159.97,161.62,155.31,160.27,"111,446,000","One of the best investing deals, ever. $TSLA at $35.79 on 6/3/19.","Tesla, Inc.",TSLA
10/27/2023,160.01,162.95,156.91,160.31,"111,508,094","$TSLA has increased the price of the Model S and Model X by $5k, and the price of the Model 3 and Model Y by $2k","Tesla, Inc.",TSLA
10/26/2023,160.29,163.28,157.32,160.61,"111,673,695",CNN just put out an article about how Missy Cummings is a fan of Tesla and is being personally persecuted by $TSLA cult members who are unable to take any criticism. Wow...ðŸ¤¦â€â™‚ï¸,"Tesla, Inc.",TSLA
10/25/2023,160.9,163.47,158.61,160.67,"112,031,797",$TSLA Stock: Going to the Moon? https://t.co/shiFdMOP9S,"Tesla, Inc.",TSLA
10/24/2023,161.88,165,158.75,160.95,"112,249,398",Winery and chocolate scent is getting started. Tesla Owners Silicon Valley shows out. @elonmusk @Tesla https://t.co/ZXLXMPcYUs,"Tesla, Inc.",TSLA
10/23/2023,162.43,165,158.83,161.2,"112,434,703","My dad invested $150k in $TSLA in August. Right now his holdings are $188k, about 25% increase. Starting January, he plans to sell $2000 worth of TSLA per month, and use it for personal expenses. I think at that rate, he will ""never"" run out of funds from that account ðŸ¤”","Tesla, Inc.",TSLA
10/20/2023,162.71,165.49,158.93,161.83,"112,484,492",Soâ€¦ we went back and dug up our @Tesla Cybertruck order agreement from the night of the unveilâ€¦there is no guarantee of final price. Brace yourselves folks. Any updates on this @elonmusk ðŸ™ðŸ½ðŸ™ðŸ½ðŸ™ðŸ½ https://t.co/gbWHOTDmgK,"Tesla, Inc.",TSLA
10/19/2023,163.17,165.65,159.65,162.55,"112,620,797",Electric taking over slowly @ford @tesla @elonmusk https://t.co/u6qI7eMTLq,"Tesla, Inc.",TSLA
10/18/2023,163.97,166,159.91,162.99,"112,681,508","Again, so grateful our club member and his wife could walk away from this T-Bone accident where the other driver ran the red light. @Tesla makes the safest cars in the world hands down. Thank you safety engineers. Lowest probability of injury! ðŸ™ðŸ½ @elonmusk https://t.co/asuCGCsMxA","Tesla, Inc.",TSLA
10/17/2023,164.57,169.52,160.56,164.31,"112,757,297",Iâ€™m being told that FSD Beta 10.3 is on track for deployment in about 3 hours @elonmusk $TSLA,"Tesla, Inc.",TSLA
10/16/2023,164.65,169.7,161.17,165.08,"112,933,000","With $TSLA closing at an all time high of $909 today, I wanted to say cheers ðŸ¥‚ðŸ¥ƒðŸ» to all members of the @Tesla, @SpaceX, and @elonmusk family, especially those of you who have been here since the days when success was anything but assured. Thank you for all that we have shared! https://t.co/V5j4WinSht","Tesla, Inc.",TSLA
10/13/2023,164.8,169.76,161.32,166.35,"113,879,203",I hope the @Tesla community welcomes @Rivian drivers into the fold. Thereâ€™s plenty of room for all of us.,"Tesla, Inc.",TSLA
10/12/2023,165.65,169.82,162.78,166.52,"115,112,602",Monday prediction: $TSLA hits $950 or more. You with me?,"Tesla, Inc.",TSLA
10/11/2023,166.17,170.79,163.51,166.66,"115,312,898","As of today, nobody who has ever invested in Tesla has lost money except the people who accidentally sold too early $TSLA","Tesla, Inc.",TSLA
10/10/2023,167.46,173.57,163.91,167.82,"115,770,898",The Day @Tesla Breaks ATH @elonmusk tweets about #dogecoin,"Tesla, Inc.",TSLA
10/9/2023,167.66,173.8,164.35,167.98,"116,531,602",Rise of EVs! #tesla $TSLA https://t.co/0ewER3dscY,"Tesla, Inc.",TSLA
10/6/2023,168.41,174.3,164.55,168.54,"116,562,398",It called All time high smiley face ðŸ˜‚ $TSLA ðŸ˜‚ https://t.co/9EgmnDZk5V,"Tesla, Inc.",TSLA
10/5/2023,168.7,174.43,166.5,169.15,"116,662,203",Getting ready to open 1 Tesla tequila when $tsla surpass $1k,"Tesla, Inc.",TSLA
10/4/2023,168.95,174.5,166.56,170.06,"116,900,094","When you guys see me getting excited about FSD...like, really excited...that's when you know it's time to buy $TSLA leaps lol.","Tesla, Inc.",TSLA
10/3/2023,172.55,175.05,166.68,171.79,"116,959,797",There is going to be a tremendous amount of sex in the $TSLA community tonight (and then repeat). We are going all the fucking way.,"Tesla, Inc.",TSLA
10/2/2023,173.72,177.06,166.79,172.08,"117,058,898",The @Tesla #FSDBeta rollout continues for the &lt;100 owners. Whoâ€™s been working hard to get their scores up? @WholeMarsBlog @SawyerMerritt https://t.co/fZPNJR9aE5,"Tesla, Inc.",TSLA
9/29/2023,173.89,177.35,167.19,172.92,"117,335,797",Impressive close for $TSLA. Not the norm for a Friday.,"Tesla, Inc.",TSLA
9/28/2023,174.22,177.37,167.23,173.22,"118,068,305",Anyone want a $TSLA video over the weekend?,"Tesla, Inc.",TSLA
9/27/2023,174.87,177.38,167.52,173.44,"118,117,102","If you have $DOGE or $TSLA in your portfolio, you're gonna make it! ðŸ“ˆðŸš€ #DogecoinRise","Tesla, Inc.",TSLA
9/26/2023,175.13,178.29,168.44,173.86,"118,121,797",Here are the credit ratings used by S&amp;P and Moodys. A rating of BBB- by S&amp;P and Baa3 by Moodyâ€™s signifies investment grade. $TSLA is now rated BB+ at S&amp;P and was raised to Ba3 by Moodyâ€™s in March. Some mutual funds can only own stocks if their credit is at least investment grade. https://t.co/JzNzGBTprh,"Tesla, Inc.",TSLA
9/25/2023,176.07,179.77,169.19,174.48,"118,231,102",I am by no means a financial advisor nor am I an expert in financial analysis. But my conviction is that $TSLA will be around $3500-4000 by 2026 and $PLTR will be around $500 by 2030. These 2 will be my biggest positions for the next 8-9 years unless I found something better.,"Tesla, Inc.",TSLA
9/22/2023,176.1,180.68,169.93,176.89,"118,559,602",Loving the solar setup @elonmusk thank you @Tesla doing doing such a great job! https://t.co/L06HF4PCeg,"Tesla, Inc.",TSLA
9/21/2023,177.17,181.95,172.45,177.9,"118,999,000",Congratulations to all the $TSLA hodlers out thereðŸ¾ â™¥ï¸,"Tesla, Inc.",TSLA
9/20/2023,177.31,182.34,172.51,180.13,"119,159,203","I just doubled down. Another 1,000 shares at $738.38. $TSLA","Tesla, Inc.",TSLA
9/19/2023,178.05,183.5,176.03,180.14,"119,425,398","All of $TSLA gains yesterday have now disappeared in PM. One step forward, two steps back.","Tesla, Inc.",TSLA
9/18/2023,178.08,183.8,176.11,180.45,"119,534,797",At some point today the MM's will need to bring $TSLA stock price higher because the delta between OI on the calls and puts is too heavily weighted on the calls. The MM's would NEVER piss off that much big money bets regardless of news. Hang on today. It will get better.,"Tesla, Inc.",TSLA
9/15/2023,179.1,183.81,176.31,180.54,"119,728,000",4/ I get the $TSLA global hiring freeze so @elonmusk and dept heads can review hiring needs in the face of opening two new gigafactories and managing 50% volume growth. Seems odd to me to cut 10% of heads unless trying to send a message to employees to return from WFH to WFO. https://t.co/a17AtUWzVL,"Tesla, Inc.",TSLA
9/14/2023,179.94,184.22,176.35,180.59,"119,840,703","$TSLA doesn't have a demand problem, It has a Biden problem. Biden and his record inflation he triggered is forcing companies (whether they like it or not) to scale back on hiring. 5,000 hires were put on hold. That leaves 5,000 potential cuts. That's nothing for 100K base.","Tesla, Inc.",TSLA
9/13/2023,180.25,185.1,177.14,181.41,"119,951,508","""I don't think it's a demand issue,"" says @DivesTech about @elonmusk's ""Super bad"" outlook. ""Clearly this is a much different Musk than we saw in mid-April.. and I think that's reflective in the stock in terms of everything we've seen in China."" $TSLA https://t.co/cBf2bJiSDM","Tesla, Inc.",TSLA
9/12/2023,180.37,185.18,177.33,182,"120,062,398",You can always count on a $tsla hit piece the day after a nice run. https://t.co/23tpGThxpB,"Tesla, Inc.",TSLA
9/11/2023,180.7,185.81,177.65,182.9,"120,707,398","""Feeling super bad about the economy, Musk decided on his Gulfstream G650ER coming back from St. Tropez to fire 10% of his employees that he loves &amp; respects so much.""","Tesla, Inc.",TSLA
9/8/2023,180.8,186.22,178.22,183.25,"120,718,398","This is a photo from Borodyanka, small town in Kyiv region that was raised to the ground by Russian bombs. Rebuild is in active stage now. Hospital will be powered up by @Tesla Powerwall stations; which provide backup during the blackouts. @elonmusk, your tech solutions help ðŸ‡ºðŸ‡¦ https://t.co/8po1KcpZsW","Tesla, Inc.",TSLA
9/7/2023,182.23,186.28,178.84,183.26,"120,851,602","Wait, I was active today (not quiet) and $TSLA climbed 6%? https://t.co/tl3O6LNQ5Z","Tesla, Inc.",TSLA
9/6/2023,182.96,186.39,179.74,184.13,"121,331,695",$TSLA and $NVDA in lock-step once again. Almost exact percentage.,"Tesla, Inc.",TSLA
9/5/2023,183.08,186.44,180,184.31,"121,374,492",$800 calls in play. I saw the OI this morning but never thought the MM's would take it there. Tricky guys. $TSLA,"Tesla, Inc.",TSLA
9/1/2023,183.95,186.5,180.11,184.47,"121,661,695",$TSLA MILLIONS of Calls this Morning ðŸ‘‡ https://t.co/PrpkbLMI0b,"Tesla, Inc.",TSLA
8/31/2023,183.95,186.5,180.31,184.51,"121,988,398",Next $TSLA catalyst is likely filing of 2022 proxy for 8/4 AGM which could come as soon as next week and provide detail on stock split pre-announced in 3/28 8-K filing. Research shows companies who split stocks outperform those that donâ€™t split by 16pp over the next 12 months. https://t.co/H8yniIiW2P,"Tesla, Inc.",TSLA
8/30/2023,184.52,186.78,180.58,185,"121,999,297","Since selling my positions last week at $757 area &amp; getting all kinds of hate mail saying how stupid I was for taking the $88K loss, yadda yadda yadda, I've turned around that $88K loss into a gain of just over $135,000 in 3 days trading $TSLA. Guess I get the last laugh. https://t.co/463j2pJz7r","Tesla, Inc.",TSLA
8/29/2023,184.62,187.69,180.94,185.06,"122,288,000","@smallwhaleee @scottfarkas @elonmusk @Tesla You mean lazy people? If you can't commit to 40 hrs a week as an executive or employee and not show up in an office, don't let door hit you on the way out. Successful companies don't thrive on hiring mediocre employees that lack motivation and assertiveness.","Tesla, Inc.",TSLA
8/28/2023,185.04,189.19,182.01,185.52,"122,334,492",I smell money this morning. $TSLA https://t.co/nuLUVpEgbb,"Tesla, Inc.",TSLA
8/25/2023,186.2,189.32,182.61,185.77,"122,514,602","Tesla $TSLA Stock Can Rocket Higher in 2022 as Bear Case Fading, Says Mizuho Securities https://t.co/xFG7YCOWtg","Tesla, Inc.",TSLA
8/24/2023,186.32,189.69,182.69,185.9,"122,515,797",@squawksquare Youâ€™re a great $TSLA day trader Squawk.  Youâ€™re not always right but your win % is way above,"Tesla, Inc.",TSLA
8/23/2023,186.54,190.68,183.58,186.79,"122,656,000","Just sold the 6,000 I bought at $737.77 at $767.77 for a whopping $180,000 profit within hours. Add my $15,000 wins, subtract $10,000 stop loss and $88K loss from Friday and I'm up a net $97,000 today. For those that said I was dumb for selling and couldn't make that back.. $TSLA https://t.co/DHsZdUkfMN","Tesla, Inc.",TSLA
8/22/2023,186.69,191.58,183.69,187.04,"123,539,000",Retweet if you want #TRON as a purchase method for @Tesla ðŸ”¥ https://t.co/2SFJNHmn2M,"Tesla, Inc.",TSLA
8/21/2023,186.74,192.35,183.76,187.71,"123,660,000",I'm excited about $TSLA this week. Are you?,"Tesla, Inc.",TSLA
8/18/2023,187.15,192.36,184.53,188.27,"123,810,398",Report: $TSLA Giga Shanghai Plant Restores 70% Of Pre-Lockdown Output https://t.co/uwO75sW6oy via @insideevs.com,"Tesla, Inc.",TSLA
8/17/2023,187.33,192.96,185.26,188.87,"123,857,906","Conventional thinking that $TSLA buybacks somehow displace spending on new growth initiatives makes no sense. Buybacks are financing decisions; they compete with building up cash, and are after all growth Initiatives. https://t.co/MGy0aqJlsS","Tesla, Inc.",TSLA
